time,value,sigma,Threshold,Station
2021-04-30 05:00:00+00:00,2.1769,0.0137,99.9th,8418150
2022-01-02 14:00:00+00:00,2.2724,0.0126,99.9th,8418150
2022-01-02 15:00:00+00:00,2.2792000000000003,0.0112,99.9th,8418150
2022-01-03 16:00:00+00:00,2.2115,0.0138,99.9th,8418150
2022-01-17 15:00:00+00:00,2.3181000000000003,0.0929,99.9th,8418150
2022-01-17 16:00:00+00:00,2.2927,0.0695,99.9th,8418150
2022-05-17 03:00:00+00:00,2.1747,0.0111,99.9th,8418150
2022-05-17 04:00:00+00:00,2.2413,0.009,99.9th,8418150
2022-11-27 18:00:00+00:00,2.1828,0.0076,99.9th,8418150
2022-12-23 14:00:00+00:00,2.4417,0.0782,99.9th,8418150
2022-12-23 15:00:00+00:00,2.6159,0.0736,99.9th,8418150
2022-12-23 16:00:00+00:00,2.4853,0.0733,99.9th,8418150
2023-01-23 16:00:00+00:00,2.2967,0.0144999999999999,99.9th,8418150
2023-01-23 17:00:00+00:00,2.2198,0.0177,99.9th,8418150
2024-01-10 13:00:00+00:00,2.5545,0.0412,99.9th,8418150
2024-01-10 14:00:00+00:00,2.5963000000000003,0.0454,99.9th,8418150
2024-01-10 15:00:00+00:00,2.4075,0.0382,99.9th,8418150
2024-01-13 15:00:00+00:00,2.2396000000000003,0.0351,99.9th,8418150
2024-01-13 16:00:00+00:00,2.7923,0.0665,99.9th,8418150
2024-01-13 17:00:00+00:00,2.8797,0.0802,99.9th,8418150
2024-01-13 18:00:00+00:00,2.4576,0.0586999999999999,99.9th,8418150
2024-02-10 15:00:00+00:00,2.2187,0.0087999999999999,99.9th,8418150
2024-02-10 16:00:00+00:00,2.2249,0.0087,99.9th,8418150
2024-02-11 16:00:00+00:00,2.2229,0.0078,99.9th,8418150
2024-02-11 17:00:00+00:00,2.158,0.0099999999999999,99.9th,8418150
2024-02-13 18:00:00+00:00,2.175,0.019,99.9th,8418150
2024-03-10 14:00:00+00:00,2.3138,0.0289,99.9th,8418150
2024-03-10 15:00:00+00:00,2.5403,0.033,99.9th,8418150
2024-03-10 16:00:00+00:00,2.3672,0.0356,99.9th,8418150
2024-03-11 04:00:00+00:00,2.1805,0.0136,99.9th,8418150
2024-04-10 04:00:00+00:00,2.2252,0.0056,99.9th,8418150
2024-05-09 04:00:00+00:00,2.1685,0.0081,99.9th,8418150
2024-09-20 17:00:00+00:00,2.1654,0.0116999999999999,99.9th,8418150
2022-12-23 15:00:00+00:00,2.6159,0.0736,99.99th,8418150
2024-01-10 14:00:00+00:00,2.5963000000000003,0.0454,99.99th,8418150
2024-01-13 16:00:00+00:00,2.7923,0.0665,99.99th,8418150
2024-01-13 17:00:00+00:00,2.8797,0.0802,99.99th,8418150
2021-04-30 06:00:00+00:00,1.9754,0.0067,99.9th,8419870
2022-01-02 14:00:00+00:00,1.9607,0.0096,99.9th,8419870
